id,Причина дубля,Ноябрь 2022,Декабрь 2022,Январь 2023,Февраль 2023,Март 2023,Апрель 2023,Май 2023,Июнь 2023,Июль 2023,Август 2023,Сентябрь 2023,Октябрь 2023,Ноябрь 2023,Декабрь 2023,Январь 2024,Февраль 2024,Account
PRJ_0159,вторая часть оплаты,,,,,,"1 022,55",в ноль,"1 590,00",в ноль,в ноль,,,,,,,Manager 01
PRJ_0229,первая часть оплаты,,,,,,,"62 920,00","60 960,00","64 390,00","69 065,00","97 690,00","95 435,00","99 075,00","100 765,00",,,Manager 07
PRJ_0229,вторая часть оплаты,,,,,,,,,,,"1 000,00","1 000,00",в ноль,в ноль,,,Manager 07
PRJ_0041,,,,,,,"60 450,00","47 410,00","44 165,00","30 800,00","56 975,00",,,,,,,Manager 06
PRJ_0022,основные работы,"99 500,00","97 550,00","70 950,00",стоп,,,,,,,,,,,,,Manager 06
PRJ_0022,первая часть оплаты,,,,"139 625,00","139 625,00","139 625,00","139 625,00","139 625,00","139 625,00","139 625,00",,"163 359,00","163 359,00","163 359,00","163 359,00",стоп,Manager 06
PRJ_0022,вторая часть оплаты,,,,"43 255,00","23 210,00","51 695,00","59 080,00","55 915,00","30 595,00","52 750,00",,,,,,,Manager 06
PRJ_0234,,,,,,,,,"38 120,00","57 318,46","67 331,37",,,,,,,Manager 08
PRJ_0202,первая часть оплаты,,,,,,,"86 401,00","85 351,00","85 351,00","85 351,00",,,,,,,Manager 07
PRJ_0202,вторая часть оплаты,,,,,,,"37 029,00","36 579,00","36 579,00","36 579,00",,,,,,,Manager 07
PRJ_0121,первая часть оплаты,"22 887,50","22 887,50","22 887,50",,"22 887,50","22 887,50",,"22 887,50","22 887,50","22 887,50",,,,,,,Manager 08
PRJ_0121,вторая часть оплаты,"22 887,50","22 887,50","22 887,50",,"22 887,50","22 887,50",,"22 887,50","22 887,50","22 887,50",,,,,,,Manager 08
PRJ_0033,,"79 235,00","79 235,00","83 810,00","122 845,00","128 145,00","135 530,00","133 420,00","140 005,00","150 160,00","137 500,00","141 435,00","125 645,00","128 810,00","130 920,00","125 645,00","125 645,00",Manager 07
PRJ_0035,основные работы,"170 268,00","170 268,00","170 268,00","170 268,00","170 268,00","201 870,00","201 870,00","201 870,00","183 630,00","183 630,00",,,,,,,Manager 08
PRJ_0035,доп работы,,,,,,,,,"79 200,00",,,,,,,,Manager 08
PRJ_0185,изменение ЮЛ,,,"104 319,00","60 660,00","359 157,00","241 780,00","321 769,75","337 482,75","288 638,50","333 853,75",,,,,,,Manager 04
PRJ_0271,первая часть оплаты,,,,,,,,,,"763 110,00",,,,,,,Manager 01
PRJ_0276,,,,,,,,,,"36 640,00","32 750,00",,,,,,,Manager 08
PRJ_0114,,"40 200,00","40 200,00","40 200,00","40 200,00",,"40 200,00","40 200,00","166 465,00","166 500,00","166 500,00",,,,,,,Manager 01
PRJ_0155,первая часть оплаты,,,"73 610,00","64 625,00","51 805,00","65 520,00","65 315,00","65 265,00","65 265,00",стоп,,,,,,,Manager 02
PRJ_0155,вторая часть оплаты,,,,,"11 765,00",,,,,,,,,,,,Manager 02
PRJ_0216,первая часть оплаты,,,,,,,,,"13 400,00","13 400,00",,,,,,,Manager 06
PRJ_0216,вторая часть оплаты,,,,,,в ноль,в ноль,,"25 500,00",в ноль,,,,,,,Manager 06
PRJ_0227,основные работы,,,,,,,"95 795,00","74 795,00","74 795,00","74 795,00","74 795,00","74 795,00","74 795,00","74 795,00","74 795,00","74 795,00",Manager 02
PRJ_0043,,"14 860,00","14 860,00","14 860,00","14 860,00",,"17 740,00","16 685,00","16 685,00","16 685,00","16 685,00","16 685,00",,"21 400,00","20 000,00","20 000,00","20 000,00",Manager 06
PRJ_0066,,"40 390,00","57 615,00","61 925,00","62 615,00","59 390,00","56 235,00","62 770,00","65 925,00","61 925,00","65 840,00","68 685,00",,,,,,Manager 07
PRJ_0211,,,,,,,"59 590,00","86 350,00","86 350,00","99 010,00","94 790,00","99 010,00",,,,,,Manager 08
PRJ_0163,основные работы,,"41 555,00","33 155,00","34 215,00","35 110,00","38 390,00","38 390,00","38 390,00","38 390,00","38 390,00","38 390,00","34 565,00","36 675,00","38 365,00","38 365,00","41 320,00",Manager 06
